"1- Onde o sr.(a) reside (mora)?","PERCENTUAL"
"20.3- Como ficou sabendo do passeio?","PERCENTUAL"
"Internet","7.97"
"Outros","10.14"
"Propaganda","5.07"
"Com o próprio bugueiro","3.62"
"Concierge (hotel)","18.84"
"Agência de viagens/receptivo","8.70"
"Guia turístico/folders","22.46"
"Indicação de parentes/amigos","23.19"
"",""

"Condições do transporte","PERCENTUAL"
"4","31.75"
"5","50.00"
"3","13.49"
"2","2.38"
"1","2.38"
"",""

"Condutor/guia","PERCENTUAL"
"4","21.43"
"5","64.29"
"3","10.32"
"2","0.79"
"1","3.17"
"",""

"Roteiro do passeio","PERCENTUAL"
"4","24.41"
"5","62.99"
"3","8.66"
"2","0.79"
"1","3.15"
"",""

"Preço do passeio","PERCENTUAL"
"4","38.28"
"5","42.19"
"3","10.16"
"2","2.34"
"1","7.03"
"",""

"20.1- Por quê?","PERCENTUAL"
"Motivação de viagem","4.87"
"Falta de interesse","26.99"
"Falta de tempo","24.34"
"Já fez anteriormente","14.16"
"Outros","9.73"
"Insegurança/medo","0.88"
"Não gosta","2.21"
"Não estava no pacote","1.33"
"Viajava com crianças","15.49"
"Não Respondidos", "62.39","141"

"21- Quais os atrativos visitados?","PERCENTUAL"
"Praias Chapadão Fazenda do camarão","1.63"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Santuario ecológico","0.82"
"Praias Outros","3.54"
"Santuario ecológico","0.27"
"Praias Chapadão Lagoa Guaraira Santuario ecológico","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Outros","1.36"
"Praias Chapadão Lagoa Guaraira Outros","1.09"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar","0.54"
"Praias Fazenda do camarão","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Santuario ecológico","1.09"
"Praias Chapadão Mirantes Santuario ecológico","1.63"
"Praias Chapadão Fazenda do camarão Projeto Tamar Santuario ecológico Outros","0.27"
"Praias Chapadão Lagoa Guaraira Mirantes Santuario ecológico Outros","0.54"
"Praias Lagoa Guaraira Santuario ecológico","0.82"
"Praias Chapadão Mirantes Santuario ecológico Outros","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira","2.18"
"Praias Santuario ecológico Outros","0.27"
"Mirantes Santuario ecológico","0.27"
"Praias Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Lagoa Guaraira Mirantes","2.18"
"Lagoa Guaraira","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes","2.18"
"Mirantes","0.27"
"Praias Chapadão Fazenda do camarão Projeto Tamar","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.54"
"Praias Projeto Tamar Santuario ecológico","0.27"
"Praias Fazenda do camarão Projeto Tamar Outros","0.27"
"Praias Chapadão Lagoa Guaraira","1.09"
"Praias Chapadão Projeto Tamar","0.27"
"Praias","38.42"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Mirantes Santuario ecológico Outros","0.27"
"Praias Chapadão Mirantes Outros","0.27"
"Outros","0.54"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Projeto Tamar Santuario ecológico","0.27"
"Praias Santuario ecológico","1.09"
"Praias Chapadão Mirantes Projeto Tamar Santuario ecológico Outros","0.27"
"Praias Chapadão Fazenda do camarão Santuario ecológico","0.54"
"Praias Chapadão Mirantes Projeto Tamar Santuario ecológico","1.91"
"Praias Chapadão Lagoa Guaraira Mirantes Santuario ecológico","3.27"
"Praias Chapadão Fazenda do camarão Mirantes Outros","0.27"
"Praias Nenhum","0.27"
"Praias Chapadão Fazenda do camarão Lagoa Guaraira Outros","0.54"
"Praias Chapadão Outros","0.27"
"Praias Chapadão Fazenda do camarão Santuario ecológico Outros","0.27"
"Praias Lagoa Guaraira Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Santuario ecológico","1.63"
"Praias Chapadão Mirantes","8.99"
"Praias Chapadão Fazenda do camarão Mirantes","0.27"
"Praias Fazenda do camarão Lagoa Guaraira","0.27"
"Nenhum","1.09"
"Praias Lagoa Guaraira","1.36"
"Praias Chapadão","7.08"
"Praias Mirantes","2.72"
"Praias Mirantes Santuario ecológico","0.27"
"Praias Chapadão Lagoa Guaraira Mirantes Projeto Tamar Santuario ecológico","0.82"
"Praias Lagoa Guaraira Outros","0.27"
"Praias Lagoa Guaraira Mirantes","0.82"
"Praias Chapadão Projeto Tamar Santuario ecológico","0.27"
"Praias Chapadão Fazenda do camarão Outros","0.27"


"21- Quais os atrativos visitados?/Santuario ecológico","PERCENTUAL"
"1","18.80"
"0","81.20"


"21- Quais os atrativos visitados?/Nenhum","PERCENTUAL"
"1","1.36"
"0","98.64"


"21- Quais os atrativos visitados?/Praias","PERCENTUAL"
"0","2.72"
"1","97.28"


"21- Quais os atrativos visitados?/Mirantes","PERCENTUAL"
"1","31.34"
"0","68.66"


"21- Quais os atrativos visitados?/Outros","PERCENTUAL"
"1","10.90"
"0","89.10"


"21- Quais os atrativos visitados?/Chapadão","PERCENTUAL"
"1","45.78"
"0","54.22"


"21- Quais os atrativos visitados?/Fazenda do camarão","PERCENTUAL"
"1","14.71"
"0","85.29"


"21- Quais os atrativos visitados?/Lagoa Guaraira","PERCENTUAL"
"1","23.43"
"0","76.57"


"21- Quais os atrativos visitados?/Projeto Tamar","PERCENTUAL"
"1","6.54"
"0","93.46"


"22- Viajou para outros municípios ou localidades do RN? Quais?","PERCENTUAL"
"Não","60.38"
"Sim","39.62"
"Não Respondidos", "0.27","1"

"22.1- Quais?","PERCENTUAL"
"Barra do cunhau, sibauma e tibau","0.68"
"Barra de c. E baia formosa","0.68"
"Tabatinga","0.68"
"Piau","0.68"
"João câmara","0.68"
" Sibauma baia formosa barra","0.68"
"Baia formosa e barra de cunhau","0.68"
"Barra de Camaratuba ","0.68"
"Mossoro","0.68"
"Sibauma, barra do cunhau, búzios,tabatinga pirangi, natal, genipabu","0.68"
"Goianinha,Canguaretama","0.68"
"Canguaretama","0.68"
"Formosa","4.08"
"Natal, barra do cunhau","1.36"
"Nizia Floresta","0.68"
"Baia formosa sibauma e barra do cunhau","0.68"
"Natal, Tibau do Sul","0.68"
"Natal tibau ","0.68"
"Muitos","0.68"
"Não se aplica","0.68"
"Sibauma , barra de cunhau e baía formosa","0.68"
"Goianinha","8.16"
" Natal","0.68"
"Barra do cunhau e baia formosa","2.72"
"Mossoró, touros, SMG,, natal etc...","0.68"
"Baia Formosa e Barra de Cunhau.","0.68"
"Sibauma , barra do cunhau e baia formosa","0.68"
"Pipa,Redinha,genipabu","0.68"
"São !Miguel do gostoso","0.68"
"Malembá barra do cunhau sibauma","0.68"
"Não","2.04"
"Sibauma e barra","1.36"
"Ponta negra","0.68"
"Jenipabu, Natal, pirangi, tabatinga, Bahia formosa, barra do cunhau","0.68"
"Sagi","0.68"
"Nisia floresta","1.36"
"Sibauma barra e tibau","0.68"
"Caicó","0.68"
"São Miguel do Gostoso","0.68"
"Camaratuba ,sagi ,baia formosa, barra do cunhau , sibauma ","0.68"
"Natal, praia barra de tabatinga.","0.68"
"Natal, búzios, barra de tabatinga, SMG etc","0.68"
"Martins","0.68"
"Sibauma e tibau","1.36"
"Praias","0.68"
"Natal","28.57"
"Jenipabu
","0.68"
"Varios","0.68"
"São jose,nizia,formosa","0.68"
"Pium","0.68"
"Pipa","0.68"
"Tibau","1.36"
"Açu","0.68"
"Sibauma","3.40"
"Ponta Negra","0.68"
"Natal, Caicó mosoro","0.68"
"Natal ","0.68"
"São Miguel do gostoso e jenipabu","0.68"
"Pipa / Ponta Negra","0.68"
"Mossoró, são Miguel do gostoso","0.68"
"Barra do cunhau","3.40"
"Maracaju, genipabu, tabatinga, puranji","0.68"
"Natal, jenipabu, barra de tabatinga, Bahia formosa, barra do cunhau, pirangi do norte","0.68"
"Barra","1.36"
"Mossoró","0.68"
"Sibauma, barra do cunhau, malemba, tabatinga , búzios, pirangi, pium, natal, genipabu","0.68"
"Formosa sagi","0.68"
"Baia formosa","1.36"
"Sibauma barra do cunhau e baia formosa","0.68"
"Pirangi, tabatinga, buzios","0.68"
"",""

"23- É sua primeira vez nessa cidade?","PERCENTUAL"
"Não","54.77"
"Sim","45.23"


"24- Retornaria a essa cidade?","PERCENTUAL"
"Não","1.09"
"Sim","98.91"


"24.1- Por quê?","PERCENTUAL"
"Beleza, receptividade","0.27"
"Natureza, vida noturna","0.27"
"Natureza, o tamanho, tudo fica comodo, a galera","0.27"
"Ótimos restaurantes e praia","0.27"
"Tranquilidade","2.74"
"É muito legal","0.27"
"Astral bom, gosta da noite ver as lojas, mas é caro","0.27"
"Muito legal","0.55"
"Visitar o filho e porque é lindo","0.27"
"As praias são legais, as pessoas","0.27"
"Visitar parentes","0.27"
"Porque é tranquila, tem lindas praia","0.27"
"Belo, limpo","0.27"
"Natureza e noite da pipa","0.27"
"Quer morar","0.27"
"Belezas naturais, noite de pipa...","0.27"
"Muito linda , precisam melhorar infraestrutura e o atendimento. Não pode deixar CVC tomar conta , se não vai acabar com o destino, como ocorreu com Porto Seguro- BA","0.27"
"Praias bonitas, vida noturna","0.27"
"Ondas e cerveja","0.27"
"Simpatia, natureza","0.27"
"Praias e baladas","0.27"
"Pra conhecer mais","0.27"
"Curtição, noite agitada, mulherada","0.27"
